,filename,width,height,depth,xmin,ymin,xmax,ymax,class
0,10.1.1.1.2006_3.bmp,793,1123,3,458,710,517,785,Table
1,10.1.1.1.2006_3.bmp,793,1123,3,531,710,568,783,Table
2,10.1.1.1.2006_3.bmp,793,1123,3,583,712,619,785,Table
3,10.1.1.1.2006_3.bmp,793,1123,3,637,712,670,784,Table
4,10.1.1.1.2013_63.bmp,816,1056,1,118,191,288,766,Table
5,10.1.1.1.2013_63.bmp,816,1056,1,316,189,346,764,Table
6,10.1.1.1.2013_63.bmp,816,1056,1,387,191,415,764,Table
7,10.1.1.1.2013_63.bmp,816,1056,1,456,188,487,764,Table
8,10.1.1.1.2013_63.bmp,816,1056,1,526,191,557,764,Table
9,10.1.1.1.2013_63.bmp,816,1056,1,597,192,626,763,Table
10,10.1.1.1.2013_63.bmp,816,1056,1,665,191,694,764,Table
11,10.1.1.1.2013_64.bmp,816,1056,1,120,223,156,332,Table
12,10.1.1.1.2013_64.bmp,816,1056,1,189,224,221,330,Table
13,10.1.1.1.2013_64.bmp,816,1056,1,319,206,375,329,Table
14,10.1.1.1.2013_64.bmp,816,1056,1,453,192,518,330,Table
15,10.1.1.1.2013_64.bmp,816,1056,1,602,207,654,329,Table
16,10.1.1.1.2013_64.bmp,816,1056,1,116,489,238,652,Table
17,10.1.1.1.2013_64.bmp,816,1056,1,257,476,300,649,Table
18,10.1.1.1.2013_64.bmp,816,1056,1,312,479,353,651,Table
19,10.1.1.1.2013_64.bmp,816,1056,1,363,476,403,652,Table
20,10.1.1.1.2013_64.bmp,816,1056,1,416,476,453,649,Table
21,10.1.1.1.2013_64.bmp,816,1056,1,460,477,496,651,Table
22,10.1.1.1.2013_64.bmp,816,1056,1,506,477,537,652,Table
23,10.1.1.1.2013_64.bmp,816,1056,1,554,473,597,649,Table
24,10.1.1.1.2013_64.bmp,816,1056,1,606,477,646,652,Table
25,10.1.1.1.2013_64.bmp,816,1056,1,657,474,694,651,Table
26,10.1.1.1.2014_4.bmp,816,1056,1,72,264,162,689,Table
27,10.1.1.1.2014_4.bmp,816,1056,1,181,263,375,689,Table
28,10.1.1.1.2014_6.bmp,816,1056,1,88,208,175,355,Table
29,10.1.1.1.2014_6.bmp,816,1056,1,216,208,232,354,Table
30,10.1.1.1.2014_6.bmp,816,1056,1,243,207,334,355,Table
31,10.1.1.1.2018_4.bmp,816,1056,1,93,70,131,210,Table
32,10.1.1.1.2018_4.bmp,816,1056,1,147,69,372,213,Table
33,10.1.1.1.2018_8.bmp,816,1056,1,444,69,563,224,Table
34,10.1.1.1.2018_8.bmp,816,1056,1,579,70,725,224,Table
35,10.1.1.1.2018_8.bmp,816,1056,1,515,872,546,948,Table
36,10.1.1.1.2018_8.bmp,816,1056,1,562,870,654,949,Table
37,10.1.1.1.2019_2.bmp,793,1123,1,163,532,178,908,Table
38,10.1.1.1.2019_2.bmp,793,1123,1,196,532,249,907,Table
39,10.1.1.1.2019_2.bmp,793,1123,1,268,532,288,910,Table
40,10.1.1.1.2019_2.bmp,793,1123,1,308,532,324,908,Table
41,10.1.1.1.2019_2.bmp,793,1123,1,346,531,361,907,Table
42,10.1.1.1.2019_2.bmp,793,1123,1,381,532,398,906,Table
43,10.1.1.1.2019_2.bmp,793,1123,1,420,530,437,906,Table
44,10.1.1.1.2019_2.bmp,793,1123,1,457,531,476,907,Table
45,10.1.1.1.2019_2.bmp,793,1123,1,496,530,513,907,Table
46,10.1.1.1.2019_2.bmp,793,1123,1,533,531,553,907,Table
47,10.1.1.1.2019_2.bmp,793,1123,1,568,531,589,908,Table
48,10.1.1.1.2019_2.bmp,793,1123,1,602,532,628,906,Table
49,10.1.1.1.2019_3.bmp,793,1123,1,166,686,277,802,Table
50,10.1.1.1.2019_3.bmp,793,1123,1,308,686,337,804,Table
51,10.1.1.1.2019_3.bmp,793,1123,1,363,684,394,803,Table
52,10.1.1.1.2019_3.bmp,793,1123,1,418,685,458,804,Table
53,10.1.1.1.2019_3.bmp,793,1123,1,472,687,517,803,Table
54,10.1.1.1.2019_3.bmp,793,1123,1,540,686,569,803,Table
55,10.1.1.1.2019_3.bmp,793,1123,1,596,685,624,804,Table
56,10.1.1.1.2020_8.bmp,793,1123,1,86,391,392,858,Table
57,10.1.1.1.2020_8.bmp,793,1123,1,419,394,702,864,Table
58,10.1.1.1.2023_31.bmp,793,1123,1,237,401,283,526,Table
59,10.1.1.1.2023_31.bmp,793,1123,1,303,371,335,527,Table
60,10.1.1.1.2023_31.bmp,793,1123,1,348,369,388,525,Table
61,10.1.1.1.2023_31.bmp,793,1123,1,401,369,440,528,Table
62,10.1.1.1.2023_31.bmp,793,1123,1,460,368,497,527,Table
63,10.1.1.1.2023_31.bmp,793,1123,1,512,370,556,527,Table
64,10.1.1.1.2023_31.bmp,793,1123,1,603,600,659,758,Table
65,10.1.1.1.2023_31.bmp,793,1123,1,520,601,579,757,Table
66,10.1.1.1.2023_31.bmp,793,1123,1,126,632,173,759,Table
67,10.1.1.1.2023_31.bmp,793,1123,1,207,601,241,759,Table
68,10.1.1.1.2023_31.bmp,793,1123,1,271,603,320,758,Table
69,10.1.1.1.2023_31.bmp,793,1123,1,353,602,403,759,Table
70,10.1.1.1.2023_31.bmp,793,1123,1,437,602,492,758,Table
71,10.1.1.1.2023_31.bmp,793,1123,1,270,848,318,976,Table
72,10.1.1.1.2023_31.bmp,793,1123,1,338,832,361,975,Table
73,10.1.1.1.2023_31.bmp,793,1123,1,381,832,409,975,Table
74,10.1.1.1.2023_31.bmp,793,1123,1,429,832,452,975,Table
75,10.1.1.1.2023_31.bmp,793,1123,1,473,833,527,975,Table
76,10.1.1.1.2023_33.bmp,793,1123,1,51,295,131,888,Table
77,10.1.1.1.2023_33.bmp,793,1123,1,147,259,186,890,Table
78,10.1.1.1.2023_33.bmp,793,1123,1,201,260,240,890,Table
79,10.1.1.1.2023_33.bmp,793,1123,1,261,258,293,890,Table
80,10.1.1.1.2023_33.bmp,793,1123,1,313,256,349,890,Table
81,10.1.1.1.2023_33.bmp,793,1123,1,363,259,438,890,Table
82,10.1.1.1.2023_33.bmp,793,1123,1,456,257,513,887,Table
83,10.1.1.1.2023_33.bmp,793,1123,1,535,259,601,890,Table
84,10.1.1.1.2023_33.bmp,793,1123,1,616,254,691,887,Table
85,10.1.1.1.2023_33.bmp,793,1123,1,702,258,743,889,Table
86,10.1.1.1.2024_3.bmp,795,1123,1,103,702,198,869,Table
87,10.1.1.1.2024_3.bmp,795,1123,1,215,705,326,866,Table
88,10.1.1.1.2024_3.bmp,795,1123,1,362,705,442,866,Table
89,10.1.1.1.2024_3.bmp,795,1123,1,486,702,558,868,Table
90,10.1.1.1.2024_3.bmp,795,1123,1,594,702,676,868,Table
91,10.1.1.1.2028_14.bmp,793,1123,1,105,96,141,602,Table
92,10.1.1.1.2028_14.bmp,793,1123,1,407,97,463,601,Table
93,10.1.1.1.2028_14.bmp,793,1123,1,482,97,538,599,Table
94,10.1.1.1.2028_14.bmp,793,1123,1,553,96,608,599,Table
95,10.1.1.1.2028_14.bmp,793,1123,1,632,97,685,601,Table
96,10.1.1.1.2028_14.bmp,793,1123,1,155,94,188,599,Table
97,10.1.1.1.2028_14.bmp,793,1123,1,207,97,239,601,Table
98,10.1.1.1.2028_14.bmp,793,1123,1,257,97,288,601,Table
99,10.1.1.1.2028_14.bmp,793,1123,1,303,96,341,601,Table
100,10.1.1.1.2028_14.bmp,793,1123,1,353,97,388,602,Table
101,10.1.1.1.2030_4.bmp,816,1056,1,424,123,516,285,Table
102,10.1.1.1.2030_4.bmp,816,1056,1,531,126,734,283,Table
